title,reviewid,creationdate,criticname,originalscore,reviewstate,reviewtext,embedding
Neon Horizon,4253980,2016-08-25,Morgan Tate,2.5/5,rotten,"This is a generated review for Neon Horizon, written by Morgan Tate.","[0.003677593567179723, -0.015880013605553082, 0.011330453588642622, -0.00695927749224496, 0.006074776335337262, -0.0195886968390137, -0.0020692169842081963, 0.002366440936743562, 0.011624171974829563, -0.017940061600458215]"
Quantum Paradox,7730765,2020-02-09,Jordan Reese,NaN,rotten,"This is a generated review for Quantum Paradox, written by Jordan Reese.","[0.009982768407757036, 0.011975099753564315, -0.014347569136863522, 0.014693318344123112, -0.007444457874052101, -0.018183531440742792, 0.012362891962364852, -0.017555035810838254, 0.01884156998279567, 0.007595861624783415]"
Shadow of Time,1080801,2022-09-20,Jordan Reese,NaN,rotten,"This is a generated review for Shadow of Time, written by Jordan Reese.","[-0.00912894221788109, -0.01860260562250362, 0.018631148330685365, 0.010754076481226255, 0.002281468652709326, 0.002237802014165409, -0.013446639020002467, -0.01218251994278781, 0.016962497499584287, 0.018854848873682547]"
Skyline Reborn,1764829,2017-08-30,Jamie Lowell,2.5/5,fresh,"This is a generated review for Skyline Reborn, written by Jamie Lowell.","[-0.014479343547483526, 0.017546126822240733, 0.009614673345162736, -0.01471324980171097, 0.019849171059877675, -0.01953035604359398, -0.019219202657553346, -0.00985874569830961, 0.01821926772921607, -0.004031319607740721]"
The Last Echo,7164976,2020-03-13,Taylor Brooks,NaN,rotten,"This is a generated review for The Last Echo, written by Taylor Brooks.","[0.0037157074680943016, 0.017042020407650817, -0.009739295404339519, 0.019591256022587194, 0.017254973629508025, 0.014198737941058626, -0.016681679157482997, -0.00996294350264881, -0.018966127685276956, -0.0154067066980158]"
Quantum Paradox,1908755,2025-02-19,Alex Harper,3.5/4,rotten,"This is a generated review for Quantum Paradox, written by Alex Harper.","[0.01538727990820157, 0.012237959896735765, -0.018657997867153175, -0.0057721159529866475, -0.005297564706491658, 0.013683253450719104, -0.006355596364253278, -0.018441072789376723, 0.016367668625895154, 0.016943325059526313]"
Neon Horizon,5442445,2016-02-17,Jordan Reese,4/5,fresh,"This is a generated review for Neon Horizon, written by Jordan Reese.","[-0.018669505963774168, -0.010580342245969883, 0.0038316342165749147, -0.014198765858559736, 0.005363991203894584, -0.003242780243360159, -0.010883656376777733, -0.011981919176051178, 0.005014832124879666, -0.007710231300402173]"
Quantum Paradox,9184234,2018-01-21,Jamie Lowell,4/5,rotten,"This is a generated review for Quantum Paradox, written by Jamie Lowell.","[-0.016182448411772108, -0.01167958633676507, -0.016401903919583453, -0.0026652401297408215, -0.007421744641880008, 0.018011958966064622, 0.013964852960334045, -0.012241523674533896, 0.002975578837294733, 0.011862082832698458]"
Skyline Reborn,6847750,2015-08-15,Alex Harper,2/5,rotten,"This is a generated review for Skyline Reborn, written by Alex Harper.","[-0.007642702088228188, 0.012231581706615213, -0.013417989600830828, 0.01149568675423113, -0.004535086512006346, -0.016789682171205446, 0.012492203410416503, 0.014770227424022061, -0.013397910001747771, -0.00984037268983903]"
Skyline Reborn,9240611,2020-02-01,Alex Harper,3/5,fresh,"This is a generated review for Skyline Reborn, written by Alex Harper.","[-0.004789790921788644, 0.0004636213892571517, -0.004109589377586292, -0.014775843386167185, 0.01382823894770793, -0.0009946430067984818, 0.01965183275174236, 0.019203125415120047, 0.007865343634277978, -0.01348686577772936]"
Skyline Reborn,4511206,2022-06-10,Alex Harper,4/5,rotten,"This is a generated review for Skyline Reborn, written by Alex Harper.","[-0.000399554440176763, 0.0038132243831144504, -0.008114160456830031, -0.010446582140719918, -0.007074580990404816, -0.003323849185890307, 0.01755254324762891, -0.0016699828369020966, 0.006126794006852638, -0.00622853335502823]"
Shadow of Time,1988831,2020-06-23,Jamie Lowell,1/5,fresh,"This is a generated review for Shadow of Time, written by Jamie Lowell.","[-0.007339038129026516, -0.006896058298938001, -0.009742088869581798, -0.01024957979513577, 0.012338117926875346, -0.004007842009148409, -0.005577466409342188, -0.01731452924104238, 0.00032011031344639576, 0.006239227761078055]"
Shadow of Time,9289340,2020-08-15,Jordan Reese,4/5,fresh,"This is a generated review for Shadow of Time, written by Jordan Reese.","[0.0014668781557727294, 0.013493913761501369, -0.014246616144307923, 0.019162426598408815, -0.0027943567001786733, 0.017444415097133976, -0.0012560375334422294, -0.015887469400136314, -0.00999144611962997, -0.005268626838071801]"
Skyline Reborn,6205774,2015-09-06,Jordan Reese,3.5/4,rotten,"This is a generated review for Skyline Reborn, written by Jordan Reese.","[0.001198160875710702, 0.014943300322893597, 0.008826079472907776, 0.015795515640674888, -0.0018737351184322515, -0.0021490755743935677, -0.008441106985291068, -0.0020338630215578878, 0.007729883786130869, 0.011864014510528712]"
Neon Horizon,2107489,2022-07-11,Jordan Reese,NaN,rotten,"This is a generated review for Neon Horizon, written by Jordan Reese.","[0.017159032616673595, 0.009051405501682784, -0.014290896506644604, -0.019436567546742372, -0.0003808870512682534, -0.010941357523072051, -0.0019476385742961816, 0.009624913672616923, -0.004666980103374817, 0.0015907143731805316]"
Skyline Reborn,5640668,2018-12-20,Morgan Tate,NaN,fresh,"This is a generated review for Skyline Reborn, written by Morgan Tate.","[0.019779485459225515, 0.008522610521025688, 0.016071189840241067, 0.004998485091310494, -0.019351147435195927, -0.002245246290799644, 0.012699251395047333, -0.0005612073916967351, 0.013883247996489777, -0.013778682733971061]"
Neon Horizon,9975716,2018-07-15,Alex Harper,3/5,rotten,"This is a generated review for Neon Horizon, written by Alex Harper.","[-0.009228443580496001, -0.002250431047762902, 0.01987377508883859, -0.011494736347715874, 0.00042324136143258306, 0.007089665650541747, -0.002996937305358601, 0.016904088766550817, 0.013696616351017831, 0.004665152389336881]"
Skyline Reborn,8824904,2023-06-12,Alex Harper,2.5/5,rotten,"This is a generated review for Skyline Reborn, written by Alex Harper.","[-0.009346443459672798, -0.01460930673052125, -0.0006196980785961662, -0.01093967599648094, -0.00500831014145974, 0.01679968774169827, -0.014555686339078677, 0.008591077431273374, -0.01153710949931805, -0.005363731911850529]"
Quantum Paradox,1625091,2015-08-27,Morgan Tate,2/5,rotten,"This is a generated review for Quantum Paradox, written by Morgan Tate.","[0.01726405917412117, -0.003862100888435284, 0.01875845497215566, 0.008207513541481672, 0.017596042384618007, -0.011209473130389048, 0.0005767730861120715, 0.008165497304237115, 0.018630916771914554, 0.008957350123094298]"
The Last Echo,9729659,2015-09-27,Alex Harper,3.5/4,rotten,"This is a generated review for The Last Echo, written by Alex Harper.","[-0.019884362779578876, -0.0029974147580655065, -0.011303926225311773, 0.011767479216439395, -0.0002298417691080877, 0.01131192450950175, 0.010321018506073327, 0.016108757015378884, -0.01698183195032957, -0.003353456057785951]"
The Last Echo,6618831,2015-12-06,Taylor Brooks,NaN,fresh,"This is a generated review for The Last Echo, written by Taylor Brooks.","[0.013859445579598288, 0.007767409327499544, 0.019801299695374735, 0.014349761397446963, 0.00766904064672266, 0.0019511632817388984, -0.013413395951059361, 0.010533346777492032, 0.016514610570138057, -0.01462266486280896]"
The Last Echo,6534095,2022-11-25,Jordan Reese,NaN,rotten,"This is a generated review for The Last Echo, written by Jordan Reese.","[-0.01299862486047194, 0.018298338078197866, -0.004573629547822242, 0.01843484561715895, -0.009090615060909303, -0.012229311614319664, -0.008709148556940969, 0.014419604236514946, -0.004721439052763406, 0.003314857648129773]"
The Last Echo,1054170,2017-06-23,Jordan Reese,4/5,fresh,"This is a generated review for The Last Echo, written by Jordan Reese.","[0.007470012327729814, 0.011342261937626535, 0.008183305432736009, 0.0174999845694695, 0.0037325697921934617, -0.0030423762366030976, -0.011130536672847753, -0.0061964302611384, -0.00940436346989522, 0.00882245424616905]"
Neon Horizon,5827242,2020-12-25,Morgan Tate,1/5,fresh,"This is a generated review for Neon Horizon, written by Morgan Tate.","[-0.01135895509336895, -0.008596541062431698, -0.005724451650657679, -0.018249468338594386, -0.017183053107416538, 0.014855111269476185, -0.014641438480245576, -0.004987153903423471, -0.0033179673182307627, 0.004645296540556201]"
Quantum Paradox,8252273,2015-06-22,Morgan Tate,1/5,fresh,"This is a generated review for Quantum Paradox, written by Morgan Tate.","[0.012654408265240804, -0.0031488312170218913, 0.017838281345352803, -0.004130214561286625, -0.007857670032252835, 0.002116298948220255, 0.003384717580056821, 0.004233804690337125, 0.011945489291987976, 0.017979961296792798]"
Quantum Paradox,7109492,2016-03-12,Jamie Lowell,4/5,fresh,"This is a generated review for Quantum Paradox, written by Jamie Lowell.","[-0.011896025194548101, -0.014647793311763522, -0.01986622683751675, -0.003117010392819985, 0.006060684363271836, -0.008615098663447522, -0.008567020343911099, -0.018139303105356778, 0.017359726272517233, 0.017729031721767898]"
Shadow of Time,2082581,2018-05-03,Morgan Tate,3.5/4,rotten,"This is a generated review for Shadow of Time, written by Morgan Tate.","[0.017175305556412602, -0.01073226089745749, -0.016000665977363215, 0.019030251698761543, 0.017015190686387672, -0.01797438539314232, -0.005254692311958072, -0.0009243787318963075, 0.018259766675632203, 0.010677790906254023]"
Skyline Reborn,8319918,2015-09-13,Alex Harper,2/5,rotten,"This is a generated review for Skyline Reborn, written by Alex Harper.","[-0.013020614111689546, 0.010851444841892911, 0.013055605502997784, 0.0072313998145231255, 0.005158589764680997, 0.0009442265468544118, -0.0006561297431282101, 0.016312450355400087, -0.007117427389224936, 0.01062767885192132]"
Shadow of Time,9367215,2016-03-28,Morgan Tate,1/5,rotten,"This is a generated review for Shadow of Time, written by Morgan Tate.","[-0.015906246867847994, -0.007978100725227266, -0.01996025301829463, -0.005710009322730154, 0.002260232004693278, 0.007623342648998967, 0.007927278836555137, 0.009833883071175144, -0.0013460614212164636, -0.0040645813093436005]"
Neon Horizon,8309151,2016-12-01,Jamie Lowell,NaN,rotten,"This is a generated review for Neon Horizon, written by Jamie Lowell.","[-0.004857800414087742, -0.004766071466542256, -0.011486848541989532, -0.005147508953800726, 0.018285079502700367, 0.012321116014180924, -0.001166647986511813, 0.00689111217516087, -0.01996203020490144, 0.006303092830531713]"
Quantum Paradox,1492179,2020-05-26,Jordan Reese,3/5,rotten,"This is a generated review for Quantum Paradox, written by Jordan Reese.","[-0.015716937051399968, 0.012313199121195623, 0.01801570309397545, 0.0035744582754106517, -0.013812243856119096, 0.019003167452985793, -0.007072648963433159, -0.008677322211918827, 0.005438807080166891, -0.0190642296121387]"
Neon Horizon,2391195,2020-02-18,Taylor Brooks,1/5,fresh,"This is a generated review for Neon Horizon, written by Taylor Brooks.","[0.0025855197654849754, -0.001033525689519331, 0.005815069084542771, -0.016485323682739493, 0.017189677233736985, -0.012798859874537088, -0.006836632859703378, 0.001273210788987466, 0.011108884037154175, -0.0195297311235459]"
Neon Horizon,3331787,2024-03-10,Taylor Brooks,4/5,rotten,"This is a generated review for Neon Horizon, written by Taylor Brooks.","[-0.003918703747139464, -0.010167787104566832, -0.016381136708126957, 0.01844917631655348, 0.006959240059653066, 0.005242953296346095, -0.0008811549815035853, 0.012812914962083446, 0.0069510591100930795, -0.019319635132423123]"
Neon Horizon,6607160,2018-10-11,Morgan Tate,NaN,fresh,"This is a generated review for Neon Horizon, written by Morgan Tate.","[0.0032450051468049385, -0.005036626210429062, 0.007165808408354946, -0.0007675862611012975, 0.010914865572288934, 0.015976203703624025, 0.0031038817374134907, 0.00012273531768404802, -0.010672335714952066, 0.019095256044198882]"
Shadow of Time,8946353,2021-05-30,Morgan Tate,2/5,fresh,"This is a generated review for Shadow of Time, written by Morgan Tate.","[0.002571397424925497, -0.01800492853287117, -0.00840316959558483, 0.01976596775768581, -0.018197778338162402, 0.0076004630872018066, 0.0017249989465002412, 0.00839747205232054, 0.00950061843325957, 0.01063288236131275]"
Skyline Reborn,3331505,2024-07-10,Jamie Lowell,4/5,fresh,"This is a generated review for Skyline Reborn, written by Jamie Lowell.","[0.003478784453867796, -0.004060488367199088, 0.007217901738779342, 0.008271722957337819, 0.018007109661799196, -0.01867858680530927, 0.00457454306171997, -0.018881567729356608, 0.008149375430388711, 0.015248226670766963]"
Quantum Paradox,8910570,2023-12-17,Jamie Lowell,1/5,fresh,"This is a generated review for Quantum Paradox, written by Jamie Lowell.","[0.0037014050892364876, 0.007442825121052127, -0.008315873636050509, -0.005461112139156765, 0.01963050291992741, 0.0044875839938560425, -0.004619577730771866, -0.0025782545791057654, -0.007250775344628271, 0.009986309579279196]"
Shadow of Time,9557673,2017-11-14,Jamie Lowell,2/5,fresh,"This is a generated review for Shadow of Time, written by Jamie Lowell.","[0.013494597764226113, -0.0059456546324398556, 0.005313513593708193, 0.01345101978222574, 0.0035611168951448745, 0.0013036883360287646, 0.008703487072161592, -0.00718250734872798, 0.018212528543833272, -0.003009744113650511]"
The Last Echo,9275213,2019-07-08,Jamie Lowell,2.5/5,fresh,"This is a generated review for The Last Echo, written by Jamie Lowell.","[-0.00014579969727064254, 0.002130467807885901, 0.00959771665621113, -0.017833093353171518, -0.014017208297339875, -0.018877167999471995, 0.009880316098956378, 0.005973132568422978, -0.006686055252398489, 0.0026051833221829752]"
The Last Echo,5985963,2020-07-16,Alex Harper,2/5,fresh,"This is a generated review for The Last Echo, written by Alex Harper.","[0.01856494539966481, 0.0013325405052549977, 0.0008031527061432495, 0.013870656559751098, -0.012655476402207527, -0.003817681488836898, 0.014145030943444579, -0.0035869663229573696, 0.004394087969270304, 0.015290946406132083]"
Shadow of Time,7693186,2016-11-12,Morgan Tate,2/5,rotten,"This is a generated review for Shadow of Time, written by Morgan Tate.","[0.012954243498000794, 0.0028246704012662056, -0.01789013342020842, 1.691482950424983e-05, 0.01969740859216668, 0.01582478355448522, 0.016202694894295943, 0.01844318644903069, 0.008551893605855433, 0.018385135897035398]"
Shadow of Time,1564037,2023-06-22,Jordan Reese,1/5,rotten,"This is a generated review for Shadow of Time, written by Jordan Reese.","[-0.01257045099308849, 0.0011014281159999126, -0.013251067722477354, -0.012148282011014606, 0.016259993471330645, 0.0005393696816327898, 0.0159544545150697, -0.015705861934700426, 0.009290618819699007, 0.015180208686770762]"
Neon Horizon,7172385,2017-05-29,Alex Harper,NaN,fresh,"This is a generated review for Neon Horizon, written by Alex Harper.","[-0.004890866061684998, -0.013697078959809334, 0.01404193522410881, 0.01159521656899767, 0.0007554666302016823, -0.015371317984605195, 0.00045536728929320217, -0.0032718299161230736, 0.000813549133821985, 0.01742157530589816]"
The Last Echo,9143501,2015-09-14,Morgan Tate,3.5/4,rotten,"This is a generated review for The Last Echo, written by Morgan Tate.","[-0.007666037232903324, -0.0037376593567814177, 0.002270230631274895, -0.0042448268314089835, -0.01206204685721268, 0.013645307099397753, -0.012857680263258531, 0.0021503499125874286, 0.016436594109561314, -0.01875807959599034]"
Skyline Reborn,8262425,2021-05-11,Taylor Brooks,3.5/4,rotten,"This is a generated review for Skyline Reborn, written by Taylor Brooks.","[0.017452654101276287, -0.002348062298833796, 0.0010748989819630538, -0.007433825038688901, -0.0031243731712568175, 0.010402663176710774, -0.015934038883739957, 0.008863191681697257, -0.012706080649857687, -0.0071094711573590885]"
Quantum Paradox,9419238,2021-08-18,Jamie Lowell,NaN,fresh,"This is a generated review for Quantum Paradox, written by Jamie Lowell.","[0.008456917896518049, 0.007996100705198916, 0.0006889877107544434, 0.012358661946405908, -0.0015265793016409068, -0.00949154429568142, 0.014920809809051184, -0.009752835722221432, -0.007386304389764882, -0.015362053393011138]"
Neon Horizon,7476924,2016-04-11,Jamie Lowell,NaN,rotten,"This is a generated review for Neon Horizon, written by Jamie Lowell.","[-0.00345315148048754, -0.0037817083724217167, 0.016385118074504827, 0.019871902242466214, -0.019831804648612637, 0.006402979564746416, -0.007508140262614012, -0.01696725233624125, 0.014396992101669111, 0.00032632302551634934]"
